case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage,log_jac_std,dice,hd95
ACDC.patient101.ES_ED,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.warped_ES_seg.nii.gz,0.0,0.012606316,0.6912842658108138,3.0410352085392205
ACDC.patient101.ED_ES,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient101/ACDC.patient101.warped_ED_seg.nii.gz,0.0,0.0119274,0.6948870667689816,3.132781879222723
ACDC.patient102.ES_ED,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.warped_ES_seg.nii.gz,0.0,0.011626793,0.5451271541652213,4.289204177821156
ACDC.patient102.ED_ES,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient102/ACDC.patient102.warped_ED_seg.nii.gz,0.0,0.011777033,0.5373648258489694,4.289204177821156
ACDC.patient103.ES_ED,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.warped_ES_seg.nii.gz,0.0,0.0140988035,0.6507952343486695,6.411340869643536
ACDC.patient103.ED_ES,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient103/ACDC.patient103.warped_ED_seg.nii.gz,0.0,0.01476697,0.6497151654222811,6.469255123121276
ACDC.patient104.ES_ED,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.warped_ES_seg.nii.gz,0.0,0.017726624,0.3781992370557288,7.599202287155786
ACDC.patient104.ED_ES,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient104/ACDC.patient104.warped_ED_seg.nii.gz,0.0,0.017448617,0.36824319404874656,7.507525152849702
ACDC.patient105.ES_ED,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.warped_ES_seg.nii.gz,0.0,0.010651575,0.46614518553721956,5.587049560868298
ACDC.patient105.ED_ES,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/ants/SyN/ACDCMM/results/ACDC.patient105/ACDC.patient105.warped_ED_seg.nii.gz,0.0,0.010836054,0.46116595260437415,5.558386963828963
