case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
ACDC.patient101.ES_ED,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.warped_ES_seg.nii.gz,0.6910021551724138,0.22178034,0.00022778939503692466,2.7417184e-06,0.832616491773602,1.3820881233139908
ACDC.patient101.ED_ES,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient101/ACDC.patient101.warped_ED_seg.nii.gz,0.33556707974137934,0.06782543,0.00022778939503692466,2.7417184e-06,0.8176023564323417,1.858830407513825
ACDC.patient102.ES_ED,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.warped_ES_seg.nii.gz,0.5911367910879629,0.090204544,0.0005125261388330805,2.7416784e-06,0.8048521101482202,1.1380711874576983
ACDC.patient102.ED_ES,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient102/ACDC.patient102.warped_ED_seg.nii.gz,0.850875289351852,0.1689802,0.0005125261388330805,2.7416784e-06,0.7536258441222462,3.0786893258332633
ACDC.patient103.ES_ED,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.warped_ES_seg.nii.gz,1.1873472865226338,0.19822824,1.8982449586410386e-05,2.7417418e-06,0.8649901356701725,1.4120226591665965
ACDC.patient103.ED_ES,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient103/ACDC.patient103.warped_ED_seg.nii.gz,0.5531844778806585,0.0699092,1.8982449586410386e-05,2.7417418e-06,0.8513125334773811,1.2440169358562925
ACDC.patient104.ES_ED,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.warped_ES_seg.nii.gz,2.1342481303418803,0.8122724,0.0010440347272525712,2.7411254e-06,0.5771110664751623,3.616063987527758
ACDC.patient104.ED_ES,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient104/ACDC.patient104.warped_ED_seg.nii.gz,2.433268229166667,0.97275096,0.0010440347272525712,2.7411256e-06,0.5263346948454823,8.245013082553704
ACDC.patient105.ES_ED,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.warped_ES_seg.nii.gz,1.2963025323275863,0.28100473,0.00020880694545051428,2.741449e-06,0.7456285092262943,2.080880229039762
ACDC.patient105.ED_ES,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/unigradicon_zeroshot/ACDC/results/ACDC.patient105/ACDC.patient105.warped_ED_seg.nii.gz,1.5491985452586206,0.54496986,0.00020880694545051428,2.741449e-06,0.6871647642688115,5.224182553670641
