case_id,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,mTRE
COPDGene.copd1_highres.insp_to_exp,0.0,0.06506621,0.0,2.412669e-07,2.0379676780919054
COPDGene.copd1_highres.exp_to_insp,0.0,0.05621174,0.0,2.384767e-07,1.6450223763363347
COPDGene.copd2_highres.insp_to_exp,0.0,0.046014022,0.0,2.399023e-07,4.386630072164617
COPDGene.copd2_highres.exp_to_insp,2.0991253644314868e-05,0.042361792,0.00011389469751846233,2.3848705e-07,3.9766395623575796
COPDGene.copd3_highres.insp_to_exp,0.0,0.03725047,0.0,2.3888455e-07,1.702821318555691
COPDGene.copd3_highres.exp_to_insp,0.0,0.032401238,0.0,2.3843054e-07,1.4883500365910511
COPDGene.copd4_highres.insp_to_exp,0.0,0.08128144,0.0,2.443294e-07,3.7381033777122865
COPDGene.copd4_highres.exp_to_insp,0.0,0.06667629,0.0,2.3847647e-07,2.8621759777161397
COPDGene.copd5_highres.insp_to_exp,0.0,0.08656145,0.0,2.4476063e-07,2.894531836777276
COPDGene.copd5_highres.exp_to_insp,0.0,0.07320591,0.0,2.3855335e-07,2.0948610895691067
COPDGene.copd6_highres.insp_to_exp,0.0,0.06101353,0.0,2.4116133e-07,3.257827898916834
COPDGene.copd6_highres.exp_to_insp,5.131195335276968e-05,0.05214447,0.0001328771471048727,2.3849427e-07,2.4710040577329573
COPDGene.copd7_highres.insp_to_exp,0.0,0.039996188,0.0,2.3872053e-07,1.8843581334979422
COPDGene.copd7_highres.exp_to_insp,0.0,0.036179774,0.0,2.384423e-07,1.6608767371480346
COPDGene.copd8_highres.insp_to_exp,0.0,0.065020055,0.0,2.4179374e-07,3.0825091316230417
COPDGene.copd8_highres.exp_to_insp,1.3994169096209913e-05,0.053525127,0.0001328771471048727,2.3845658e-07,2.1338605780290787
COPDGene.copd9_highres.insp_to_exp,0.0,0.04050373,0.0,2.388201e-07,2.0772877450936185
COPDGene.copd9_highres.exp_to_insp,0.0,0.035325933,0.0,2.3842054e-07,1.7518923668536652
COPDGene.copd10_highres.insp_to_exp,0.0,0.065834746,9.491224793205194e-05,2.4196956e-07,2.834936788235626
COPDGene.copd10_highres.exp_to_insp,4.89795918367347e-05,0.053560447,0.0005694734875923116,2.385572e-07,2.50400900426379
