case_id,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,mTRE
COPDGene.copd1_highres.insp_to_exp,0.0,0.066786505,0.0,2.739689e-06,1.4692192361902452
COPDGene.copd1_highres.exp_to_insp,0.0,0.056813225,0.0,2.741698e-06,1.1511248748111473
COPDGene.copd2_highres.insp_to_exp,0.0,0.051872358,5.6947348759231166e-05,2.740216e-06,2.2680540555052087
COPDGene.copd2_highres.exp_to_insp,2.3323615160349855e-06,0.04668898,0.0,2.7416959e-06,1.8951563956075725
COPDGene.copd3_highres.insp_to_exp,0.0,0.03705465,0.0,2.7413346e-06,1.4033573253270124
COPDGene.copd3_highres.exp_to_insp,0.0,0.033890538,0.0,2.7417977e-06,1.2486078191655352
COPDGene.copd4_highres.insp_to_exp,0.0038087463556851315,0.08085733,0.004498840551979262,2.7372523e-06,2.2801123972636628
COPDGene.copd4_highres.exp_to_insp,0.0,0.06591766,0.0,2.741751e-06,1.7590110436379685
COPDGene.copd5_highres.insp_to_exp,0.0,0.087192066,5.6947348759231166e-05,2.7369533e-06,1.9432062673874368
COPDGene.copd5_highres.exp_to_insp,0.0,0.07205674,0.0,2.7416943e-06,1.393319289058287
COPDGene.copd6_highres.insp_to_exp,0.0,0.062193565,3.796489917282077e-05,2.7397898e-06,1.9918627805297429
COPDGene.copd6_highres.exp_to_insp,6.997084548104956e-05,0.05350793,0.0001328771471048727,2.741689e-06,1.4902540133436317
COPDGene.copd7_highres.insp_to_exp,0.0,0.04017637,0.0,2.7415651e-06,1.394265554810282
COPDGene.copd7_highres.exp_to_insp,0.0,0.037174765,0.0,2.7417884e-06,1.2792624416310021
COPDGene.copd8_highres.insp_to_exp,0.0,0.06630068,0.0,2.7391675e-06,1.988898654171726
COPDGene.copd8_highres.exp_to_insp,3.26530612244898e-05,0.055984475,9.491224793205194e-05,2.7417375e-06,1.518305337278382
COPDGene.copd9_highres.insp_to_exp,0.0,0.039352305,0.0,2.741473e-06,1.357289373135123
COPDGene.copd9_highres.exp_to_insp,0.0,0.035557408,0.0,2.7418093e-06,1.183007290670319
COPDGene.copd10_highres.insp_to_exp,0.0,0.06539516,0.00037964899172820776,2.7390706e-06,1.7243704079568973
COPDGene.copd10_highres.exp_to_insp,2.3323615160349855e-05,0.055688646,0.00047456123966025976,2.7416504e-06,1.3814977634383907
