case_id,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,mTRE
COPDGene.copd1_highres.insp_to_exp,0.0,0.06279287,0.0,2.9777234e-06,25.03625747893324
COPDGene.copd1_highres.exp_to_insp,0.0,0.05169036,0.0,2.979932e-06,23.344817967653533
COPDGene.copd2_highres.insp_to_exp,0.0,0.0511901,0.0,2.9785888e-06,21.44154036099425
COPDGene.copd2_highres.exp_to_insp,0.0,0.046192795,0.0001306122448979592,2.9798305e-06,20.193367626834362
COPDGene.copd3_highres.insp_to_exp,0.0,0.04971375,0.0,2.9788332e-06,12.517627707335391
COPDGene.copd3_highres.exp_to_insp,0.0,0.04297926,0.0,2.9800372e-06,11.775139977634359
COPDGene.copd4_highres.insp_to_exp,0.0,0.072456785,3.731778425655977e-05,2.9766777e-06,28.956383902072595
COPDGene.copd4_highres.exp_to_insp,0.0,0.06011192,0.0,2.979722e-06,25.589174519990085
COPDGene.copd5_highres.insp_to_exp,0.0,0.08114379,0.0,2.9760743e-06,29.09489615086683
COPDGene.copd5_highres.exp_to_insp,4.664723032069971e-06,0.06710578,7.463556851311954e-05,2.97953e-06,24.828704746140236
COPDGene.copd6_highres.insp_to_exp,0.0,0.06632184,0.0,2.9772677e-06,26.762693018608328
COPDGene.copd6_highres.exp_to_insp,0.0,0.05760556,3.731778425655977e-05,2.9796113e-06,23.81684979387113
COPDGene.copd7_highres.insp_to_exp,0.0,0.05207955,0.0,2.978634e-06,19.843590050986265
COPDGene.copd7_highres.exp_to_insp,0.0,0.046436362,0.0,2.9797923e-06,17.467661180108394
COPDGene.copd8_highres.insp_to_exp,0.0,0.068117745,0.0,2.977158e-06,24.636449300013375
COPDGene.copd8_highres.exp_to_insp,0.0,0.05848304,0.0,2.9796345e-06,19.962776867525946
COPDGene.copd9_highres.insp_to_exp,0.0,0.04662663,0.0,2.978995e-06,12.710755628876921
COPDGene.copd9_highres.exp_to_insp,0.0,0.041210886,0.0,2.979994e-06,10.899802948890523
COPDGene.copd10_highres.insp_to_exp,0.0,0.075262144,0.0,2.9765e-06,19.790890644390135
COPDGene.copd10_highres.exp_to_insp,0.0,0.061642855,0.0,2.9796772e-06,16.870582042506932
