case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage,log_jac_std,dice,hd95
HCP.751348_to_189450,evaluation_results/ants/SyN/HCP-1/results/HCP.751348_to_189450/HCP.751348_to_189450.751348_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.751348_to_189450/HCP.751348_to_189450.189450_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.751348_to_189450/HCP.751348_to_189450.warped_751348_seg.nii.gz,0.0,0.036334034,0.7145700823425177,2.394277657278728
HCP.298051_to_146432,evaluation_results/ants/SyN/HCP-1/results/HCP.298051_to_146432/HCP.298051_to_146432.298051_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.298051_to_146432/HCP.298051_to_146432.146432_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.298051_to_146432/HCP.298051_to_146432.warped_298051_seg.nii.gz,0.0,0.032207936,0.7688212642858664,1.9654906040233489
HCP.654754_to_414229,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_414229/HCP.654754_to_414229.654754_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_414229/HCP.654754_to_414229.414229_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_414229/HCP.654754_to_414229.warped_654754_seg.nii.gz,0.0,0.032099977,0.7396352452819549,2.581385318800769
HCP.130013_to_135225,evaluation_results/ants/SyN/HCP-1/results/HCP.130013_to_135225/HCP.130013_to_135225.130013_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.130013_to_135225/HCP.130013_to_135225.135225_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.130013_to_135225/HCP.130013_to_135225.warped_130013_seg.nii.gz,0.0,0.030415898,0.792445508403077,1.4402310354208772
HCP.397760_to_199655,evaluation_results/ants/SyN/HCP-1/results/HCP.397760_to_199655/HCP.397760_to_199655.397760_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.397760_to_199655/HCP.397760_to_199655.199655_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.397760_to_199655/HCP.397760_to_199655.warped_397760_seg.nii.gz,0.0,0.035243597,0.7044339538346455,3.163833474435169
HCP.654754_to_131217,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_131217/HCP.654754_to_131217.654754_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_131217/HCP.654754_to_131217.131217_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_131217/HCP.654754_to_131217.warped_654754_seg.nii.gz,0.0,0.03016164,0.7368251352492987,1.986858238596819
HCP.135225_to_149337,evaluation_results/ants/SyN/HCP-1/results/HCP.135225_to_149337/HCP.135225_to_149337.135225_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.135225_to_149337/HCP.135225_to_149337.149337_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.135225_to_149337/HCP.135225_to_149337.warped_135225_seg.nii.gz,0.0,0.030750195,0.7837773372690603,1.7189263538361081
HCP.499566_to_414229,evaluation_results/ants/SyN/HCP-1/results/HCP.499566_to_414229/HCP.499566_to_414229.499566_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.499566_to_414229/HCP.499566_to_414229.414229_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.499566_to_414229/HCP.499566_to_414229.warped_499566_seg.nii.gz,0.0,0.029763144,0.7648095385743037,2.393856363798215
HCP.188347_to_124422,evaluation_results/ants/SyN/HCP-1/results/HCP.188347_to_124422/HCP.188347_to_124422.188347_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.188347_to_124422/HCP.188347_to_124422.124422_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.188347_to_124422/HCP.188347_to_124422.warped_188347_seg.nii.gz,0.0,0.028601179,0.7864793479426159,1.577574008212213
HCP.199655_to_201111,evaluation_results/ants/SyN/HCP-1/results/HCP.199655_to_201111/HCP.199655_to_201111.199655_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.199655_to_201111/HCP.199655_to_201111.201111_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.199655_to_201111/HCP.199655_to_201111.warped_199655_seg.nii.gz,0.0,0.03758507,0.7639256814426032,1.92353538522786
