case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
HCP.751348_to_189450,evaluation_results/unigradicon_io_50/HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.751348_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.189450_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.warped_751348_seg.nii.gz,0.08868604806027512,0.048671436,0.00018982449586410388,2.7409621e-06,0.7263331416699774,2.4016570688887637
HCP.298051_to_146432,evaluation_results/unigradicon_io_50/HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.298051_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.146432_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.warped_298051_seg.nii.gz,0.061592686314427596,0.046240658,0.0,2.7413025e-06,0.7771358001221502,1.8282579544265223
HCP.654754_to_414229,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.654754_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.414229_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.warped_654754_seg.nii.gz,0.04514926083068552,0.04688993,3.796489917282077e-05,2.7416193e-06,0.7723961015541875,2.352530434018859
HCP.130013_to_135225,evaluation_results/unigradicon_io_50/HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.130013_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.135225_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.warped_130013_seg.nii.gz,0.11271142906067468,0.05432506,0.0003227016429689766,2.7389267e-06,0.787752482145815,1.474732193768007
HCP.397760_to_199655,evaluation_results/unigradicon_io_50/HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.397760_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.199655_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.warped_397760_seg.nii.gz,0.08974200422382465,0.051586024,0.0005125261388330805,2.7412784e-06,0.742878102534652,2.568524056613256
HCP.654754_to_131217,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.654754_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.131217_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.warped_654754_seg.nii.gz,0.04103483704027854,0.043940682,0.0,2.7416638e-06,0.7743114983660953,1.7163951036970864
HCP.135225_to_149337,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.135225_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.149337_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.warped_135225_seg.nii.gz,0.04659525485644704,0.04641278,0.0006264208363515429,2.7416324e-06,0.7830410203105581,1.964923514118156
HCP.499566_to_414229,evaluation_results/unigradicon_io_50/HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.499566_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.414229_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.warped_499566_seg.nii.gz,0.059447478072261646,0.04664802,0.0001328771471048727,2.7413032e-06,0.7898724078971063,2.20717263725922
HCP.188347_to_124422,evaluation_results/unigradicon_io_50/HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.188347_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.124422_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.warped_188347_seg.nii.gz,0.05435320306702943,0.04207796,7.592979834564155e-05,2.7414656e-06,0.7912637260704505,1.5351070591183196
HCP.199655_to_201111,evaluation_results/unigradicon_io_50/HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.199655_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.201111_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.warped_199655_seg.nii.gz,0.055927624193763195,0.048750296,0.0003227016429689766,2.7409203e-06,0.7681226293285678,1.8774979142932309
HCP.131217_to_131217,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.131217_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.131217_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.warped_131217_seg.nii.gz,0.0,0.0038570992,0.0,2.7418137e-06,1.0,0.0
HCP.131217_to_499566,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.131217_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.499566_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.warped_131217_seg.nii.gz,0.05434844650773417,0.043760773,0.0005125261388330805,2.7412343e-06,0.7980689115978015,1.5668512303806381
HCP.135225_to_397760,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.135225_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.397760_seg.nii.gz,evaluation_results/unigradicon_io_50/HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.warped_135225_seg.nii.gz,0.04329420270553093,0.047289517,0.0005315085884194908,2.7416108e-06,0.7833812640557932,1.8265945095623846
