case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
HCP.751348_to_189450,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.751348_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.189450_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.751348_to_189450/HCP.751348_to_189450.warped_751348_seg.nii.gz,0.04168648566373028,0.060261454,0.0,2.977158e-06,0.4637521009959766,4.339524016291304
HCP.298051_to_146432,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.298051_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.146432_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.298051_to_146432/HCP.298051_to_146432.warped_298051_seg.nii.gz,0.13692231587358966,0.13207074,5.597667638483965e-05,2.9756202e-06,0.3728928239177122,5.394108670611622
HCP.654754_to_414229,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.654754_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.414229_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_414229/HCP.654754_to_414229.warped_654754_seg.nii.gz,0.016804923990182463,0.054479674,0.0,2.979489e-06,0.34493805136749683,5.624038080796582
HCP.130013_to_135225,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.130013_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.135225_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.130013_to_135225/HCP.130013_to_135225.warped_130013_seg.nii.gz,0.09486006202553321,0.07422568,0.0,2.974249e-06,0.42578932115003865,4.589779085359532
HCP.397760_to_199655,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.397760_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.199655_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.397760_to_199655/HCP.397760_to_199655.warped_397760_seg.nii.gz,0.2159240092086988,0.11907966,0.0,2.9770786e-06,0.2666458487157593,7.640628927651095
HCP.654754_to_131217,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.654754_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_131217/HCP.654754_to_131217.warped_654754_seg.nii.gz,0.005403451359424647,0.044708986,0.0,2.9797507e-06,0.4446033535502155,3.853882657402049
HCP.135225_to_149337,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.135225_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.149337_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_149337/HCP.135225_to_149337.warped_135225_seg.nii.gz,0.3225755817272018,0.09471646,0.0,2.9771352e-06,0.20551480140938036,10.274967294709551
HCP.499566_to_414229,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.499566_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.414229_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.499566_to_414229/HCP.499566_to_414229.warped_499566_seg.nii.gz,0.03329591506687722,0.05755287,0.0,2.9785256e-06,0.3751077470603306,6.0960222120680685
HCP.188347_to_124422,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.188347_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.124422_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.188347_to_124422/HCP.188347_to_124422.warped_188347_seg.nii.gz,0.0062168229989155045,0.034488127,0.0,2.979927e-06,0.7007425487473518,2.117207227684188
HCP.199655_to_201111,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.199655_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.201111_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.199655_to_201111/HCP.199655_to_201111.warped_199655_seg.nii.gz,0.4769687398923115,0.43684515,0.004179591836734694,2.9730218e-06,0.19439897326721264,7.9252261568315046
HCP.131217_to_131217,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_131217/HCP.131217_to_131217.warped_131217_seg.nii.gz,0.0,0.017515406,0.0,2.9802316e-06,0.872276402146875,0.7060660051537495
HCP.131217_to_499566,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.499566_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.131217_to_499566/HCP.131217_to_499566.warped_131217_seg.nii.gz,0.00890903556003729,0.0482754,0.0,2.9783496e-06,0.5221106637135973,3.221272272046949
HCP.135225_to_397760,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.135225_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.397760_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.135225_to_397760/HCP.135225_to_397760.warped_135225_seg.nii.gz,0.026161076123974964,0.058406956,0.0,2.9793298e-06,0.4262069518220853,4.334201162050937
HCP.149337_to_131217,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.149337_to_131217/HCP.149337_to_131217.149337_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.149337_to_131217/HCP.149337_to_131217.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.149337_to_131217/HCP.149337_to_131217.warped_149337_seg.nii.gz,0.07351262390836964,0.06258246,0.0,2.976703e-06,0.4638781398918506,3.743160483958096
HCP.124422_to_414229,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_414229/HCP.124422_to_414229.124422_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_414229/HCP.124422_to_414229.414229_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_414229/HCP.124422_to_414229.warped_124422_seg.nii.gz,0.010902033904754657,0.04342078,0.0,2.9796922e-06,0.5979764732760584,3.1661721528870674
HCP.654754_to_124422,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_124422/HCP.654754_to_124422.654754_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_124422/HCP.654754_to_124422.124422_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.654754_to_124422/HCP.654754_to_124422.warped_654754_seg.nii.gz,0.0016219867196864478,0.041204114,0.0,2.979873e-06,0.48805805343527914,3.574158031314539
HCP.212318_to_124422,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.212318_to_124422/HCP.212318_to_124422.212318_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.212318_to_124422/HCP.212318_to_124422.124422_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.212318_to_124422/HCP.212318_to_124422.warped_212318_seg.nii.gz,0.010611883787743298,0.037581,0.0,2.9798293e-06,0.6839479485242647,2.6785845956993746
HCP.124422_to_672756,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_672756/HCP.124422_to_672756.124422_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_672756/HCP.124422_to_672756.672756_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.124422_to_672756/HCP.124422_to_672756.warped_124422_seg.nii.gz,0.00479461176963032,0.039810695,0.0,2.9798168e-06,0.6974384778883016,2.293174450931428
HCP.857263_to_131217,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.857263_to_131217/HCP.857263_to_131217.857263_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.857263_to_131217/HCP.857263_to_131217.131217_seg.nii.gz,evaluation_results/comparing_methods/vm_foundation_model//HCP/results/HCP.857263_to_131217/HCP.857263_to_131217.warped_857263_seg.nii.gz,0.004152476264769117,0.045081273,0.0,2.9792368e-06,0.6180637698691166,4.465565618508964
