case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
IXI.484,evaluation_results/unigradicon_io_50/IXI/results/IXI.484/IXI.484.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.484/IXI.484.484_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.484/IXI.484.warped_atlas_seg.nii.gz,0.15077136811755953,0.0721587,0.19470298540781134,2.7401022e-06,0.707622540464518,4.797652164456184
IXI.464,evaluation_results/unigradicon_io_50/IXI/results/IXI.464/IXI.464.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.464/IXI.464.464_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.464/IXI.464.warped_atlas_seg.nii.gz,0.05375453404017857,0.069407426,0.09868975539974761,2.7401804e-06,0.6926599489905796,5.844953477471842
IXI.508,evaluation_results/unigradicon_io_50/IXI/results/IXI.508/IXI.508.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.508/IXI.508.508_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.508/IXI.508.warped_atlas_seg.nii.gz,0.16001383463541666,0.07212498,0.20692768294145966,2.7401675e-06,0.6897600531462424,4.489495437590872
IXI.135,evaluation_results/unigradicon_io_50/IXI/results/IXI.135/IXI.135.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.135/IXI.135.135_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.135/IXI.135.warped_atlas_seg.nii.gz,0.030793689546130952,0.06441201,0.06055401418064914,2.7401804e-06,0.755075777535671,3.121302891305688
IXI.286,evaluation_results/unigradicon_io_50/IXI/results/IXI.286/IXI.286.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.286/IXI.286.286_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.286/IXI.286.warped_atlas_seg.nii.gz,0.01880464099702381,0.06371456,0.03895198655131411,2.7400279e-06,0.7580268212586057,3.2337937023397623
IXI.511,evaluation_results/unigradicon_io_50/IXI/results/IXI.511/IXI.511.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.511/IXI.511.511_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.511/IXI.511.warped_atlas_seg.nii.gz,0.013093494233630952,0.058107074,0.018469923447577308,2.7404901e-06,0.7633495106871613,2.4885780450987367
IXI.339,evaluation_results/unigradicon_io_50/IXI/results/IXI.339/IXI.339.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.339/IXI.339.339_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.339/IXI.339.warped_atlas_seg.nii.gz,0.044148763020833336,0.070888065,0.06078180357568607,2.73962e-06,0.7343804535697841,3.8568280338196987
IXI.501,evaluation_results/unigradicon_io_50/IXI/results/IXI.501/IXI.501.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.501/IXI.501.501_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.501/IXI.501.warped_atlas_seg.nii.gz,0.030415852864583332,0.06838195,0.050531280799024456,2.7399049e-06,0.7041993461697783,4.628380089593254
IXI.139,evaluation_results/unigradicon_io_50/IXI/results/IXI.139/IXI.139.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.139/IXI.139.139_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.139/IXI.139.warped_atlas_seg.nii.gz,0.03618512834821429,0.07085497,0.06562232822022072,2.7399105e-06,0.7140804457966082,4.042220847210993
IXI.115,evaluation_results/unigradicon_io_50/IXI/results/IXI.115/IXI.115.atlas_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.115/IXI.115.115_seg.nii.gz,evaluation_results/unigradicon_io_50/IXI/results/IXI.115/IXI.115.warped_atlas_seg.nii.gz,0.07077171688988095,0.06997324,0.093944143003145,2.7399678e-06,0.7069556517277573,4.975272739419128
