case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage,log_jac_std,dice,hd95
OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.warped_9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,0.0,0.043817397,0.10441800382509106,8.731570984361325
OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image,evaluation_results/ants/SyN/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.warped_9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,0.0,0.05511341,0.6947073857100265,1.9102794318768093
OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image,evaluation_results/ants/SyN/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.warped_9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,0.0,0.0610896,0.5112832521229155,7.260250013725637
OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image,evaluation_results/ants/SyN/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.warped_9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,0.0,0.040290624,0.1624531584388687,12.829903127331164
OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image,evaluation_results/ants/SyN/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.warped_9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,0.0,0.037824094,0.12628053179804483,9.66223025553445
OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image,evaluation_results/ants/SyN/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.warped_9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,0.0,0.03332379,0.2520972867130514,10.562086667154379
OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image,evaluation_results/ants/SyN/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.warped_9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,0.0,0.05971011,0.0365787987946018,13.42974843083354
OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image,evaluation_results/ants/SyN/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.warped_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,0.0,0.041838706,0.4598385520979222,5.7036117877619805
OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image,evaluation_results/ants/SyN/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.warped_9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,0.0,0.06455045,0.594855168484884,3.2431554809306875
OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image,evaluation_results/ants/SyN/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.warped_9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,0.0,0.0778825,0.765467252141788,2.312331854637153
