case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image,evaluation_results/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.warped_9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,0.3847249348958333,0.28079647,0.007270278191595178,2.5143177e-07,0.6905022002379761,2.824872854791863
OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image,evaluation_results/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.warped_9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,0.2934434678819444,0.08264385,0.004062244211491823,2.461971e-07,0.7390818024861181,1.5152272262293762
OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image,evaluation_results/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.warped_9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,0.3137885199652778,0.4689527,0.0025626306941654024,2.5242184e-07,0.7099875108479771,3.5466957193674844
OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image,evaluation_results/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.warped_9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,0.2509223090277778,0.26110503,0.0008731926809748779,2.4855458e-07,0.6643064313232354,6.5714897674475345
OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image,evaluation_results/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.warped_9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,0.213623046875,0.12317028,0.02097560679298348,2.5073788e-07,0.6662422527362934,3.174375961470634
OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image,evaluation_results/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.warped_9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,0.4168023003472222,0.6168507,0.0017843502611225766,2.491696e-07,0.6135790633094123,3.6065052597646896
OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image,evaluation_results/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.warped_9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,0.577392578125,0.2922303,0.0019362098578138598,2.502537e-07,0.752622943906762,2.8623690270237567
OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image,evaluation_results/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.warped_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,0.20595974392361113,0.100036,0.003283963778448997,2.4765825e-07,0.6770159571589265,3.2512654129649023
OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image,evaluation_results/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.warped_9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,1.1676025390625,1.661577,0.01220571508406188,2.4832045e-07,0.6569217650362631,2.4937495291233063
OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image,evaluation_results/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image_seg.nii.gz,evaluation_results/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.warped_9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,0.14780680338541666,0.11625326,0.020842729645878605,2.4522768e-07,0.7497252244456978,2.1291739344596863
