case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image/OAI.9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_to_9003406_20060322_SAG_3D_DESS_LEFT_016610899303_image.warped_9357383_20040927_SAG_3D_DESS_LEFT_016610250606_image_seg.nii.gz,0.6578233506944444,0.4036003,0.060041488041816055,2.7289557e-06,0.6922731909505837,2.653057396743411
OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image/OAI.9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_to_9369649_20050112_SAG_3D_DESS_LEFT_016610322906_image.warped_9905156_20040816_SAG_3D_DESS_LEFT_016610241205_image_seg.nii.gz,0.44345431857638884,0.13154516,0.0648820126863507,2.7353183e-06,0.7420730285209063,1.5152272262293762
OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.warped_9897397_20041214_SAG_3D_DESS_RIGHT_016610308211_image_seg.nii.gz,0.4279920789930555,0.4770651,0.007498067586632103,2.729684e-06,0.7186175508316903,3.3777566526579013
OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image/OAI.9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_to_9085290_20051103_SAG_3D_DESS_LEFT_016610952703_image.warped_9917803_20050222_SAG_3D_DESS_LEFT_016610170806_image_seg.nii.gz,0.3565131293402778,0.28598335,0.01657167848893627,2.7317321e-06,0.6760233614810012,6.083917450829775
OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image/OAI.9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_to_9444401_20050712_SAG_3D_DESS_RIGHT_016610417603_image.warped_9723911_20050927_SAG_3D_DESS_RIGHT_016610606109_image_seg.nii.gz,0.3378634982638889,0.14252564,0.17691643014534483,2.7311726e-06,0.6779761146402571,2.9050241733848985
OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image/OAI.9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_to_9368622_20060408_SAG_3D_DESS_RIGHT_016611081409_image.warped_9192885_20060130_SAG_3D_DESS_RIGHT_016610822212_image_seg.nii.gz,0.6239488389756944,0.6480073,0.041286827850442596,2.7313936e-06,0.6141580102179978,3.706348628112904
OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image/OAI.9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_to_9415074_20050726_SAG_3D_DESS_RIGHT_016610438114_image.warped_9992358_20050105_SAG_3D_DESS_RIGHT_016610313712_image_seg.nii.gz,0.6797281901041666,0.30294007,0.06059197907982196,2.7319659e-06,0.7646587202928075,2.3861509262781793
OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image/OAI.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_to_9403165_20060316_SAG_3D_DESS_LEFT_016610900302_image.warped_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,0.3713650173611111,0.10924014,0.11543227593496157,2.7338624e-06,0.684074319248984,3.1281359087074088
OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image/OAI.9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_to_9626069_20050819_SAG_3D_DESS_RIGHT_016610487509_image.warped_9309170_20050812_SAG_3D_DESS_RIGHT_016610469409_image_seg.nii.gz,1.283331976996528,1.6941781,0.1284352539016527,2.7313638e-06,0.6711871640566736,2.3400917819029523
OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image,evaluation_results/unigradicon_io_50/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image_seg.nii.gz,evaluation_results/unigradicon_io_50/OAI/results/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image/OAI.9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_to_9200458_20041022_SAG_3D_DESS_LEFT_016610274606_image.warped_9864733_20050826_SAG_3D_DESS_LEFT_016610495603_image_seg.nii.gz,0.1803249782986111,0.12286368,0.15220128078383852,2.7359301e-06,0.7510383512812144,1.889761009519237
