case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
ACDC.patient101.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,,0,0,0,0,0.693315156911006,3.321574959527146
ACDC.patient102.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,,0,0,0,0,0.5241766854464521,4.289204177821156
ACDC.patient103.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,,0,0,0,0,0.6220432224617677,6.619100254044695
ACDC.patient104.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,,0,0,0,0,0.349752688399192,7.599202287155786
ACDC.patient105.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,,0,0,0,0,0.4530732231609324,5.6632164463472305
ACDC.patient106.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient106/ACDC.patient106.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient106/ACDC.patient106.ED_seg.nii.gz,,0,0,0,0,0.8737884697469195,1.6666666666666667
ACDC.patient107.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient107/ACDC.patient107.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient107/ACDC.patient107.ED_seg.nii.gz,,0,0,0,0,0.4689234257333501,4.4617216023781685
ACDC.patient108.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient108/ACDC.patient108.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient108/ACDC.patient108.ED_seg.nii.gz,,0,0,0,0,0.39934728282644416,8.046720136367815
ACDC.patient109.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient109/ACDC.patient109.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient109/ACDC.patient109.ED_seg.nii.gz,,0,0,0,0,0.6045130207109684,4.816169614345054
ACDC.patient110.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient110/ACDC.patient110.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient110/ACDC.patient110.ED_seg.nii.gz,,0,0,0,0,0.5439524666973247,4.3743685418725535
ACDC.patient111.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient111/ACDC.patient111.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient111/ACDC.patient111.ED_seg.nii.gz,,0,0,0,0,0.5245547834668853,6.87960710854383
ACDC.patient112.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient112/ACDC.patient112.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient112/ACDC.patient112.ED_seg.nii.gz,,0,0,0,0,0.5464184970051774,6.2075562315752455
ACDC.patient113.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient113/ACDC.patient113.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/before_registration/ACDC/results/ACDC.patient113/ACDC.patient113.ED_seg.nii.gz,,0,0,0,0,0.748615612170965,2.9969015949715234
