case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage_itk,log_jac_std_itk,flips_percentage,log_jac_std,dice,hd95
ACDC.patient101.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.warped_ES_seg.nii.gz,0.5881263469827586,0.21527211,0.0,2.7417204e-06,0.8329862204131185,1.2761423749153968
ACDC.patient101.ED_ES,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient101/ACDC.patient101.warped_ED_seg.nii.gz,0.3650323275862069,0.09534071,0.0,2.7417266e-06,0.8188592477017181,1.9647761559124188
ACDC.patient102.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.warped_ES_seg.nii.gz,0.6698043258101852,0.16037957,0.0,2.7416907e-06,0.8193426946891691,1.1380711874576983
ACDC.patient102.ED_ES,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient102/ACDC.patient102.warped_ED_seg.nii.gz,0.8388943142361112,0.26918814,0.0,2.7416922e-06,0.7700689101643944,3.0275875100994063
ACDC.patient103.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.warped_ES_seg.nii.gz,1.0826581790123457,0.2628598,0.0,2.7417684e-06,0.8704868417648536,1.3333333333333333
ACDC.patient103.ED_ES,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient103/ACDC.patient103.warped_ED_seg.nii.gz,0.5328896604938271,0.120766506,0.0,2.7417707e-06,0.8507119619933262,1.2440169358562925
ACDC.patient104.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.warped_ES_seg.nii.gz,2.20436030982906,0.92528737,0.060838750924445295,2.7411058e-06,0.7181809502040694,2.824045318333193
ACDC.patient104.ED_ES,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient104/ACDC.patient104.warped_ED_seg.nii.gz,1.819786658653846,0.85081404,0.0,2.7411506e-06,0.607053337437648,6.879448512032039
ACDC.patient105.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.warped_ES_seg.nii.gz,1.3047211745689655,0.91945857,0.004024279312319002,2.7413444e-06,0.7840235276555246,1.7941107824805875
ACDC.patient105.ED_ES,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient105/ACDC.patient105.warped_ED_seg.nii.gz,1.299669989224138,0.73513305,5.6947348759231166e-05,2.7413569e-06,0.715633903845818,3.438084251724927
ACDC.patient106.ES_ED,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient106/ACDC.patient106.ES_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient106/ACDC.patient106.ED_seg.nii.gz,evaluation_results/exp_varying_finetune_dataset_size/unigradicon_io_50/ACDC/results/ACDC.patient106/ACDC.patient106.warped_ES_seg.nii.gz,0.13482992541152264,0.04893673,0.0,2.7417682e-06,0.9252336169529377,1.0
